sic_start,sic_end,effective_from,effective_to,research_sector,sector_etf,mapping_rationale,mapping_confidence,mapping_specificity,review_status,reviewer,review_date,source_reference
6798,6798,,2015-10-07,Financials,XLF,REITs pre-XLRE inception - Financials,HIGH,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
6798,6798,2015-10-08,,Real Estate,XLRE,REITs post-XLRE inception - Real Estate,HIGH,single_sic,pending,,,GICS 2016 real-estate sector / XLRE inception
6799,6799,,,Financials,XLF,Investors NEC - Financials,MEDIUM,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
7000,7099,,,Consumer Discretionary,XLY,Hotels and lodging - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7200,7299,,,Consumer Discretionary,XLY,Personal services - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7300,7309,,,Industrials,XLI,Business services NEC - Industrials,LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7310,7319,,2018-06-18,Consumer Discretionary,XLY,Advertising pre-2018 - Discretionary media,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7310,7319,2018-06-19,,Communication Services,XLC,GICS 2018 moved advertising to Communication Services,MEDIUM,narrow_range,pending,,,GICS 2018 restructure / XLC inception
7320,7369,,,Industrials,XLI,Credit reporting staffing and facility services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7370,7370,,2018-06-18,Information Technology,XLK,Computer programming/data processing incl internet content pre-2018 - Technology,HIGH,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
7370,7370,2018-06-19,,Communication Services,XLC,GICS 2018 moved internet content/search (META GOOGL class of SIC 7370) to Communication Services - the sector-change-without-SIC-change case,HIGH,single_sic,pending,,,GICS 2018 restructure / XLC inception
7371,7379,,,Information Technology,XLK,Software IT services prepackaged software (MSFT 7372) - Technology,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7380,7399,,,Industrials,XLI,Miscellaneous business services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7500,7699,,,Consumer Discretionary,XLY,Auto repair rental and misc repair - Discretionary,MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
7800,7999,,2018-06-18,Consumer Discretionary,XLY,Movies entertainment and recreation pre-2018 - Discretionary,HIGH,division_range,pending,,,SIC division structure + SPDR select-sector definitions
7800,7999,2018-06-19,,Communication Services,XLC,GICS 2018 moved movies/entertainment (NFLX 7841 class) to Communication Services,HIGH,division_range,pending,,,GICS 2018 restructure / XLC inception
8000,8099,,,Health Care,XLV,Health services hospitals and clinics - Health Care,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8100,8199,,,Industrials,XLI,Legal services - Industrials (coarse),LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8200,8299,,,Consumer Discretionary,XLY,Educational services - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8300,8699,,,Industrials,XLI,Social and membership services (coarse) - Industrials,LOW,division_range,pending,,,SIC division structure + SPDR select-sector definitions
8700,8730,,,Industrials,XLI,Engineering accounting and management services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8731,8731,,,Health Care,XLV,Commercial physical/biological research (biotech research) - Health Care,HIGH,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
8732,8799,,,Industrials,XLI,Research management and related services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8800,8999,,,Industrials,XLI,Services NEC - Industrials (coarse),LOW,division_range,pending,,,SIC division structure + SPDR select-sector definitions
