permaticker,ticker,cik,effective_from,effective_to,research_sector,sector_etf,confidence,review_status,mapping_rationale,evidence,reviewer,review_date
199233,WMT,104169,2013-01-01,,Consumer Staples,XLP,verified,pending,Walmart - established Consumer Staples constituent,Archived-history criterion closed: GICS Consumer Staples (food & staples retailing) since sector inception; uninterrupted XLP constituency across the research window,,
197593,COST,909832,2013-01-01,,Consumer Staples,XLP,verified,pending,Costco - established Consumer Staples constituent,Archived-history criterion closed: GICS Consumer Staples since sector inception; uninterrupted XLP constituency across the research window,,
199795,TGT,27419,,2023-03-17,Consumer Discretionary,XLY,verified,pending,Target - Consumer Discretionary through the 2023 revision,Owner countersign 2; GICS 2023 revision cites TGT,,
199795,TGT,27419,2023-03-20,,Consumer Staples,XLP,verified,pending,Target - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Consumer Staples merchandise retail,Owner countersign 2,,
199781,DG,29534,,2023-03-17,Consumer Discretionary,XLY,verified,pending,Dollar General - historically Consumer Discretionary,Owner countersign 2,,
199781,DG,29534,2023-03-20,,Consumer Staples,XLP,verified,pending,Dollar General - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers; now Consumer Staples merchandise retail,Owner countersign 2,,
197305,DLTR,935703,,2023-03-17,Consumer Discretionary,XLY,verified,pending,Dollar Tree - historically Consumer Discretionary,Owner countersign 2,,
197305,DLTR,935703,2023-03-20,,Consumer Staples,XLP,verified,pending,Dollar Tree - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers; now Consumer Staples merchandise retail,Owner countersign 2,,
199122,DHR,313616,2013-01-01,,Health Care,XLV,verified,pending_archive_evidence,Danaher - SIC 3823 but currently GICS Health Care (life sciences tools); HOWEVER its pre-reclassification history (Industrials-era) is NOT independently verified offline - row EXCLUDED from coverage until the owner attaches archived classification evidence or amends effective_from to the verified reclassification date (owner rule: no automatic backfill),Owner countersign 2 LOW recovery,,
199287,TMO,97745,2013-01-01,,Health Care,XLV,verified,pending,Thermo Fisher - SIC 3829 but GICS Health Care (life sciences tools); major XLV constituent,Archived-history criterion closed: GICS Health Care (life sciences tools & services) since at least the 2006 Fisher merger; uninterrupted XLV constituency across the research window,,
193213,TT,1466258,2020-03-02,,Industrials,XLI,verified,pending,Trane Technologies - SIC 3822 but GICS Industrials (building products); XLI constituent; effective from the 2020-03-02 Trane rename. Predecessor (Ingersoll-Rand era) months remain governed by the generic mapping/exclusion; extension is a future owner option with archived evidence,Owner countersign 2 LOW recovery,,
124373,SNAP,1564408,2017-03-02,2018-09-28,Information Technology,XLK,verified,pending,Snap - internet software under GICS IT from its 2017-03-02 IPO until the 2018 restructure,Owner countersign 2 LOW recovery,,
124373,SNAP,1564408,2018-10-01,,Communication Services,XLC,verified,pending,Snap - interactive media moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),Owner countersign 2 LOW recovery,,
110959,PINS,1506293,2019-04-18,,Communication Services,XLC,verified,pending,Pinterest - interactive media = Communication Services from its 2019-04-18 IPO (post-restructure),Owner countersign 2 LOW recovery,,
187959,TWTR,1418091,2013-11-07,2018-09-28,Information Technology,XLK,verified,pending,Twitter - internet software under GICS IT from its 2013-11-07 IPO until the 2018 restructure,Owner countersign 2 LOW recovery,,
187959,TWTR,1418091,2018-10-01,2022-10-27,Communication Services,XLC,verified,pending,Twitter - interactive media moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close); window ends at the 2022-10-27 delisting,Owner countersign 2 LOW recovery,,
110958,ZM,1585521,2019-04-18,,Information Technology,XLK,verified,pending,Zoom - GICS Information Technology (application software) from its 2019-04-18 IPO; SIC 7370 LOW row cannot place it,Owner countersign 2 LOW recovery,,
195878,NOC,1133421,2013-01-01,,Industrials,XLI,verified,pending,"Northrop Grumman - aerospace & defense = Industrials; SIC 3812 is not sector-coherent (owner countersign 3), resolved by verified override",Uninterrupted GICS Industrials / XLI constituency,,
196736,RTN,1047122,2013-01-01,2020-04-02,Industrials,XLI,verified,pending,"Raytheon (legacy, pre-RTX merger; delisted 2020-04-02) - aerospace & defense = Industrials; verified override for the 3812 LOW row",Uninterrupted GICS Industrials through the 2020 merger,,
199181,LHX,202058,2013-01-01,,Industrials,XLI,verified,pending,L3Harris (incl. Harris predecessor ticker history via the crosswalk) - aerospace & defense = Industrials; verified override for the 3812 LOW row,Uninterrupted GICS Industrials / XLI constituency,,
195988,GRMN,1121788,2013-01-01,,Consumer Discretionary,XLY,verified,pending,Garmin - SIC 3812 but S&P classifies Garmin as Consumer Discretionary (consumer electronics); XLY holding - the counterexample proving generic 3812 cannot decide the sector (owner countersign 3),Owner countersign 3; GRMN cited with XLY constituency,,
196456,BKNG,1075531,2013-01-01,,Consumer Discretionary,XLY,verified,pending,Booking Holdings - GICS Consumer Discretionary (hotels/restaurants/leisure) for its entire verified research history; the genuine 2019 SIC change 7389->4700 must not route it to Industrials,Owner countersign 3; uninterrupted XLY constituency,,
110842,UBER,1543151,2019-05-10,,Industrials,XLI,verified,pending,Uber - S&P classifies Uber as Industrials (ground transportation) from listing; the PIT SIC change 7372->7389 (2019-11-05) is a valid pipeline demonstration but must not create a false XLK->XLI sector transition - the override pins Industrials from the 2019-05-10 IPO,Owner countersign 3; UBER classified Industrials by S&P,,
