permaticker,ticker,cik,effective_from,effective_to,relationship_type,source,source_record_id,confidence,mapping_rationale,review_status
110558,NPAUU,1780312,2019-09-11,2019-11-02,ticker_rename,sharadar_tickers.secfilings,permaticker:110558,high,traded as NPAUU until renamed 2019-11-03 (ACTIONS tickerchangefrom),auto_high_precedence
110558,NPA,1780312,2019-11-03,2021-04-06,ticker_rename,sharadar_tickers.secfilings,permaticker:110558,high,traded as NPA until renamed 2021-04-07 (ACTIONS tickerchangefrom),auto_high_precedence
110558,ASTS,1780312,2021-04-07,,direct,sharadar_tickers.secfilings,permaticker:110558,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110627,OAC.U,1773751,2019-07-18,2019-09-16,ticker_rename,sharadar_tickers.secfilings,permaticker:110627,high,traded as OAC.U until renamed 2019-09-17 (ACTIONS tickerchangefrom),auto_high_precedence
110627,OAC,1773751,2019-09-17,2021-01-20,ticker_rename,sharadar_tickers.secfilings,permaticker:110627,high,traded as OAC until renamed 2021-01-21 (ACTIONS tickerchangefrom),auto_high_precedence
110627,HIMS,1773751,2021-01-21,,direct,sharadar_tickers.secfilings,permaticker:110627,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110634,LVGO,1639225,2019-07-25,2020-10-29,direct,sharadar_tickers.secfilings,permaticker:110634,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110719,WORK,1764925,2019-06-20,2021-07-20,direct,sharadar_tickers.secfilings,permaticker:110719,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110723,CHWY,1766502,2019-06-14,,direct,sharadar_tickers.secfilings,permaticker:110723,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110725,CRWD,1535527,2019-06-12,,direct,sharadar_tickers.secfilings,permaticker:110725,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110801,FSLY,1517413,2019-05-17,,direct,sharadar_tickers.secfilings,permaticker:110801,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110813,DEACU,1883685,2019-05-10,2019-08-20,ticker_rename,sharadar_tickers.secfilings,permaticker:110813,high,traded as DEACU until renamed 2019-08-21 (ACTIONS tickerchangefrom),auto_high_precedence
110813,DEAC,1883685,2019-08-21,2020-04-23,ticker_rename,sharadar_tickers.secfilings,permaticker:110813,high,traded as DEAC until renamed 2020-04-24 (ACTIONS tickerchangefrom),auto_high_precedence
110813,DKNG,1883685,2020-04-24,,direct,sharadar_tickers.secfilings,permaticker:110813,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110842,UBER,1543151,2019-05-10,,direct,sharadar_tickers.secfilings,permaticker:110842,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110865,BYND,1655210,2019-05-02,,direct,sharadar_tickers.secfilings,permaticker:110865,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110958,ZM,1585521,2019-04-18,,direct,sharadar_tickers.secfilings,permaticker:110958,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
110959,PINS,1506293,2019-04-18,,direct,sharadar_tickers.secfilings,permaticker:110959,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
111061,DOW,1751788,2019-04-02,,direct,sharadar_tickers.secfilings,permaticker:111061,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
111070,LYFT,1759509,2019-03-29,,direct,sharadar_tickers.secfilings,permaticker:111070,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
111203,SHLL.U,1759631,2019-02-28,2019-04-23,ticker_rename,sharadar_tickers.secfilings,permaticker:111203,high,traded as SHLL.U until renamed 2019-04-24 (ACTIONS tickerchangefrom),auto_high_precedence
111203,SHLL,1759631,2019-04-24,2020-10-01,ticker_rename,sharadar_tickers.secfilings,permaticker:111203,high,traded as SHLL until renamed 2020-10-02 (ACTIONS tickerchangefrom),auto_high_precedence
111203,HYLN,1759631,2020-10-02,,direct,sharadar_tickers.secfilings,permaticker:111203,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
111624,GMHIU,1758057,2019-02-01,2019-03-26,ticker_rename,sharadar_tickers.secfilings,permaticker:111624,high,traded as GMHIU until renamed 2019-03-27 (ACTIONS tickerchangefrom),auto_high_precedence
111624,GMHI,1758057,2019-03-27,2020-12-02,ticker_rename,sharadar_tickers.secfilings,permaticker:111624,high,traded as GMHI until renamed 2020-12-03 (ACTIONS tickerchangefrom),auto_high_precedence
111624,LAZR,1758057,2020-12-03,2025-12-22,ticker_rename,sharadar_tickers.secfilings,permaticker:111624,high,traded as LAZR until renamed 2025-12-23 (ACTIONS tickerchangefrom),auto_high_precedence
111624,LAZRQ,1758057,2025-12-23,2025-12-23,direct,sharadar_tickers.secfilings,permaticker:111624,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
111626,ONDS,1646188,2020-12-04,,direct,sharadar_tickers.secfilings,permaticker:111626,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
113480,MRNA,1682852,2018-12-07,,direct,sharadar_tickers.secfilings,permaticker:113480,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
113491,YHOO,1011006,1996-04-12,2017-06-16,direct,sharadar_tickers.secfilings,permaticker:113491,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
113554,LIN,1707925,2018-10-31,,direct,sharadar_tickers.secfilings,permaticker:113554,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
114216,PLAN,1540755,2018-10-12,2022-06-21,direct,sharadar_tickers.secfilings,permaticker:114216,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
114492,TLWT,1270400,2004-07-13,2006-03-12,ticker_rename,sharadar_tickers.secfilings,permaticker:114492,high,traded as TLWT until renamed 2006-03-13 (ACTIONS tickerchangefrom),auto_high_precedence
114492,NTLI,1270400,2006-03-13,2007-02-07,ticker_rename,sharadar_tickers.secfilings,permaticker:114492,high,traded as NTLI until renamed 2007-02-08 (ACTIONS tickerchangefrom),auto_high_precedence
114492,VMED,1270400,2007-02-08,2013-06-07,direct,sharadar_tickers.secfilings,permaticker:114492,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
115680,BNGOU,1411690,2018-08-21,2018-09-20,ticker_rename,sharadar_tickers.secfilings,permaticker:115680,high,traded as BNGOU until renamed 2018-09-21 (ACTIONS tickerchangefrom),auto_high_precedence
115680,BNGO,1411690,2018-09-21,,direct,sharadar_tickers.secfilings,permaticker:115680,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
115953,CGC,1737927,2018-05-24,,direct,sharadar_tickers.secfilings,permaticker:115953,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
115966,GSAH.U,1674101,2018-07-30,2018-07-31,ticker_rename,sharadar_tickers.secfilings,permaticker:115966,high,traded as GSAH.U until renamed 2018-08-01 (ACTIONS tickerchangefrom),auto_high_precedence
115966,GSAH,1674101,2018-08-01,2020-02-09,ticker_rename,sharadar_tickers.secfilings,permaticker:115966,high,traded as GSAH until renamed 2020-02-10 (ACTIONS tickerchangefrom),auto_high_precedence
115966,VRT,1674101,2020-02-10,,direct,sharadar_tickers.secfilings,permaticker:115966,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
116126,BE,1664703,2018-07-25,,direct,sharadar_tickers.secfilings,permaticker:116126,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
116141,TLRY,1731348,2018-07-19,,direct,sharadar_tickers.secfilings,permaticker:116141,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
116520,AVLR,1348036,2018-06-15,2022-10-18,direct,sharadar_tickers.secfilings,permaticker:116520,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
116537,VTIQU,1731289,2018-06-11,2018-06-12,ticker_rename,sharadar_tickers.secfilings,permaticker:116537,high,traded as VTIQU until renamed 2018-06-13 (ACTIONS tickerchangefrom),auto_high_precedence
116537,VTIQ,1731289,2018-06-13,2020-06-03,ticker_rename,sharadar_tickers.secfilings,permaticker:116537,high,traded as VTIQ until renamed 2020-06-04 (ACTIONS tickerchangefrom),auto_high_precedence
116537,NKLA,1731289,2020-06-04,2025-02-24,ticker_rename,sharadar_tickers.secfilings,permaticker:116537,high,traded as NKLA until renamed 2025-02-25 (ACTIONS tickerchangefrom),auto_high_precedence
116537,NKLAQ,1731289,2025-02-25,2025-02-25,direct,sharadar_tickers.secfilings,permaticker:116537,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
116543,CMCSK,1166691,1990-03-26,2015-12-11,share_class,sharadar_tickers.secfilings,permaticker:116543,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119256,FRC,1132979,2010-12-09,2023-05-01,ticker_rename,sharadar_tickers.secfilings,permaticker:119256,high,traded as FRC until renamed 2023-05-02 (ACTIONS tickerchangefrom),auto_high_precedence
119256,FRCB,1132979,2023-05-02,2023-05-03,direct,sharadar_tickers.secfilings,permaticker:119256,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119285,LBTYK,1570585,2005-09-08,,share_class,sharadar_tickers.secfilings,permaticker:119285,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119313,DISCK,1437107,2008-09-18,2022-04-08,share_class,sharadar_tickers.secfilings,permaticker:119313,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119315,Z,1617640,2015-08-17,,share_class,sharadar_tickers.secfilings,permaticker:119315,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119398,CRON,1656472,2018-02-27,,direct,sharadar_tickers.secfilings,permaticker:119398,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119465,DOCU,1261333,2018-04-27,,direct,sharadar_tickers.secfilings,permaticker:119465,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119496,GOOG,1288776,2014-03-27,2015-10-01,predecessor_cik,manual_override_table,edgar:CIK0001288776,approved_manual,Class C under Google Inc. DOCUMENTED WHEN-ISSUED WINDOW: Sharadar SEP contains Class C prices 2014-03-27..2014-04-02 (verified 2026-07-11) representing when-issued trading between the record date and the 2014-04-02 distribution; regular-way GOOG from 2014-04-03. GOOG identity is appropriate from 03-27 because the crosswalk maps the Sharadar price series (permaticker 119496 firstpricedate 2014-03-27) - excluding the when-issued days would orphan genuine SEP rows. EXPECTED AMBIGUITY: ticker GOOG denotes two securities 2014-03-27..04-02 (Class A regular-way + Class C when-issued); ticker/date lookups return unresolved there by the frozen invariant - series joins use permaticker,approved
119496,GOOG,1652044,2015-10-02,,successor_cik,manual_override_table,edgar:CIK0001652044,approved_manual,Alphabet Inc. is the successor issuer for Class C (GOOG) from the 2015-10-02 reorganization,approved
119497,BRK.A,1067983,1986-01-01,,share_class,sharadar_tickers.secfilings,permaticker:119497,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
119498,NWSA,1308161,1996-03-11,2013-06-30,ticker_rename,sharadar_tickers.secfilings,permaticker:119498,high,traded as NWSA until renamed 2013-07-01 (ACTIONS tickerchangefrom),auto_high_precedence
119498,FOXA,1308161,2013-07-01,2019-03-18,ticker_rename,sharadar_tickers.secfilings,permaticker:119498,high,traded as FOXA until renamed 2019-03-19 (ACTIONS tickerchangefrom),auto_high_precedence
119498,TFCFA,1308161,2019-03-19,2019-03-20,share_class,sharadar_tickers.secfilings,permaticker:119498,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
120342,ZS,1713683,2018-03-16,,direct,sharadar_tickers.secfilings,permaticker:120342,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
120812,VICI,1705696,2018-01-04,,direct,sharadar_tickers.secfilings,permaticker:120812,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
121755,IPOA.U,1706946,2017-09-29,2017-10-02,ticker_rename,sharadar_tickers.secfilings,permaticker:121755,high,traded as IPOA.U until renamed 2017-10-03 (ACTIONS tickerchangefrom),auto_high_precedence
121755,IPOA,1706946,2017-10-03,2019-10-27,ticker_rename,sharadar_tickers.secfilings,permaticker:121755,high,traded as IPOA until renamed 2019-10-28 (ACTIONS tickerchangefrom),auto_high_precedence
121755,SPCE,1706946,2019-10-28,,direct,sharadar_tickers.secfilings,permaticker:121755,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
121821,MDB,1441816,2017-10-19,,direct,sharadar_tickers.secfilings,permaticker:121821,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
121823,ROKU,1428439,2017-09-28,,direct,sharadar_tickers.secfilings,permaticker:121823,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
121834,VSTE,1692819,2016-10-05,2017-05-16,ticker_rename,sharadar_tickers.secfilings,permaticker:121834,high,traded as VSTE until renamed 2017-05-17 (ACTIONS tickerchangefrom),auto_high_precedence
121834,VST,1692819,2017-05-17,,direct,sharadar_tickers.secfilings,permaticker:121834,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
121837,BHGE,1701605,2017-07-05,2019-10-19,ticker_rename,sharadar_tickers.secfilings,permaticker:121837,high,traded as BHGE until renamed 2019-10-20 (ACTIONS tickerchangefrom),auto_high_precedence
121837,BKR,1701605,2019-10-20,,direct,sharadar_tickers.secfilings,permaticker:121837,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
123154,CELH,1341766,2017-05-24,,direct,sharadar_tickers.secfilings,permaticker:123154,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
123544,ATUS,1702780,2017-06-22,2025-11-18,ticker_rename,sharadar_tickers.secfilings,permaticker:123544,high,traded as ATUS until renamed 2025-11-19 (ACTIONS tickerchangefrom),auto_high_precedence
123544,OPTU,1702780,2025-11-19,,direct,sharadar_tickers.secfilings,permaticker:123544,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
123548,GDI,1699150,2017-05-12,2020-03-01,ticker_rename,sharadar_tickers.secfilings,permaticker:123548,high,traded as GDI until renamed 2020-03-02 (ACTIONS tickerchangefrom),auto_high_precedence
123548,IR,1699150,2020-03-02,,direct,sharadar_tickers.secfilings,permaticker:123548,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
123784,QBYT,850261,2007-03-21,2009-11-11,ticker_rename,sharadar_tickers.secfilings,permaticker:123784,high,traded as QBYT until renamed 2009-11-12 (ACTIONS tickerchangefrom),auto_high_precedence
123784,SRNE,850261,2009-11-12,2023-02-21,ticker_rename,sharadar_tickers.secfilings,permaticker:123784,high,traded as SRNE until renamed 2023-02-22 (ACTIONS tickerchangefrom),auto_high_precedence
123784,SRNEQ,850261,2023-02-22,2023-02-22,direct,sharadar_tickers.secfilings,permaticker:123784,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124114,DVMT,1571996,2016-09-07,2019-01-01,ticker_rename,sharadar_tickers.secfilings,permaticker:124114,high,traded as DVMT until renamed 2019-01-02 (ACTIONS tickerchangefrom),auto_high_precedence
124114,DELL,1571996,2019-01-02,,direct,sharadar_tickers.secfilings,permaticker:124114,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124116,OKTA,1660134,2017-04-07,,direct,sharadar_tickers.secfilings,permaticker:124116,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124117,JCI,833444,1986-01-01,,share_class,sharadar_tickers.secfilings,permaticker:124117,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124118,CVNA,1690820,2017-04-28,,direct,sharadar_tickers.secfilings,permaticker:124118,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124160,AYX,1689923,2017-03-24,2024-03-18,direct,sharadar_tickers.secfilings,permaticker:124160,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124251,DXC,1688568,2017-04-03,,direct,sharadar_tickers.secfilings,permaticker:124251,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124254,COUP,1385867,2016-10-06,2023-02-27,direct,sharadar_tickers.secfilings,permaticker:124254,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124306,CLSK,827876,2020-01-24,,direct,sharadar_tickers.secfilings,permaticker:124306,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124329,ELF,1600033,2016-09-22,,direct,sharadar_tickers.secfilings,permaticker:124329,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124354,HTZ,1657853,2006-11-16,2020-10-29,ticker_rename,sharadar_tickers.secfilings,permaticker:124354,high,traded as HTZ until renamed 2020-10-30 (ACTIONS tickerchangefrom),auto_high_precedence
124354,HTZGQ,1657853,2020-10-30,2020-10-29,direct,sharadar_tickers.secfilings,permaticker:124354,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124373,SNAP,1564408,2017-03-02,,direct,sharadar_tickers.secfilings,permaticker:124373,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124392,AA,1675149,2016-11-01,,direct,sharadar_tickers.secfilings,permaticker:124392,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124440,BLNK,1429764,2018-02-14,,direct,sharadar_tickers.secfilings,permaticker:124440,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124454,CRSP,1674416,2016-10-19,,direct,sharadar_tickers.secfilings,permaticker:124454,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124697,TTD,1671933,2016-09-21,,direct,sharadar_tickers.secfilings,permaticker:124697,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124726,WKHS,1425287,2016-01-04,,direct,sharadar_tickers.secfilings,permaticker:124726,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
124782,FTV,1659166,2016-07-05,,direct,sharadar_tickers.secfilings,permaticker:124782,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
156969,SQ,1512673,2015-11-19,2025-01-20,ticker_rename,sharadar_tickers.secfilings,permaticker:156969,high,traded as SQ until renamed 2025-01-21 (ACTIONS tickerchangefrom),auto_high_precedence
156969,XYZ,1512673,2025-01-21,,direct,sharadar_tickers.secfilings,permaticker:156969,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
157136,RUN,1469367,2015-08-05,,direct,sharadar_tickers.secfilings,permaticker:157136,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
157178,JAGX,1585608,2015-05-13,,direct,sharadar_tickers.secfilings,permaticker:157178,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
165452,TEAM,1650372,2015-12-10,,direct,sharadar_tickers.secfilings,permaticker:165452,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
165453,HPE,1645590,2015-11-02,,direct,sharadar_tickers.secfilings,permaticker:165453,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
165460,FDC,883980,2015-10-15,2019-07-26,direct,sharadar_tickers.secfilings,permaticker:165460,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
165511,TDOC,1477449,2015-07-01,,direct,sharadar_tickers.secfilings,permaticker:165511,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
165518,KHC,1637459,2015-07-06,,direct,sharadar_tickers.secfilings,permaticker:165518,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
166332,MRKT,1598014,2014-06-19,2016-09-12,ticker_rename,sharadar_tickers.secfilings,permaticker:166332,high,traded as MRKT until renamed 2016-09-13 (ACTIONS tickerchangefrom),auto_high_precedence
166332,INFO,1598014,2016-09-13,2022-02-24,ticker_rename,sharadar_tickers.secfilings,permaticker:166332,high,traded as INFO until renamed 2022-02-25 (ACTIONS tickerchangefrom),auto_high_precedence
166332,INFO1,1598014,2022-02-25,2022-02-25,direct,sharadar_tickers.secfilings,permaticker:166332,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
168145,MYL,1792044,1987-12-18,2020-11-16,ticker_rename,sharadar_tickers.secfilings,permaticker:168145,high,traded as MYL until renamed 2020-11-17 (ACTIONS tickerchangefrom),auto_high_precedence
168145,VTRS,1792044,2020-11-17,,direct,sharadar_tickers.secfilings,permaticker:168145,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
170416,MDT,1613103,1986-01-01,,direct,sharadar_tickers.secfilings,permaticker:170416,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
171219,SEDG,1419612,2015-03-26,,direct,sharadar_tickers.secfilings,permaticker:171219,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
178719,PYPL,1633917,2015-07-06,,direct,sharadar_tickers.secfilings,permaticker:178719,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
179220,Z,1617640,2011-07-20,2015-08-16,ticker_rename,sharadar_tickers.secfilings,permaticker:179220,high,traded as Z until renamed 2015-08-17 (ACTIONS tickerchangefrom),auto_high_precedence
179220,ZG,1617640,2015-08-17,,share_class,sharadar_tickers.secfilings,permaticker:179220,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
179780,WAG,1618921,1986-01-01,2015-01-01,ticker_rename,sharadar_tickers.secfilings,permaticker:179780,high,traded as WAG until renamed 2015-01-02 (ACTIONS tickerchangefrom),auto_high_precedence
179780,WBA,1618921,2015-01-02,2025-08-28,direct,sharadar_tickers.secfilings,permaticker:179780,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
182713,LITE,1633978,2015-07-23,,direct,sharadar_tickers.secfilings,permaticker:182713,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
184017,ETSY,1370637,2015-04-16,,direct,sharadar_tickers.secfilings,permaticker:184017,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
185890,CHGG,1364954,2013-11-13,,direct,sharadar_tickers.secfilings,permaticker:185890,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
186639,AMC,1411579,2013-12-18,,direct,sharadar_tickers.secfilings,permaticker:186639,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
186763,HLT,1585689,2013-12-12,,direct,sharadar_tickers.secfilings,permaticker:186763,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187401,JUNO,1594864,2014-12-29,2018-03-05,direct,sharadar_tickers.secfilings,permaticker:187401,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187405,HUBS,1404655,2014-10-09,,direct,sharadar_tickers.secfilings,permaticker:187405,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187524,ANET,1596532,2014-06-06,,direct,sharadar_tickers.secfilings,permaticker:187524,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187530,SYF,1601712,2014-07-31,,direct,sharadar_tickers.secfilings,permaticker:187530,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187576,ARES,1176948,2014-05-02,,direct,sharadar_tickers.secfilings,permaticker:187576,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187636,ENDP,1593034,2000-07-18,2022-08-24,ticker_rename,sharadar_tickers.secfilings,permaticker:187636,high,traded as ENDP until renamed 2022-08-25 (ACTIONS tickerchangefrom),auto_high_precedence
187636,ENDPQ,1593034,2022-08-25,2022-08-25,direct,sharadar_tickers.secfilings,permaticker:187636,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187698,KITE,1510580,2014-06-20,2017-10-03,direct,sharadar_tickers.secfilings,permaticker:187698,high,current symbol per Sharadar TICKERS; CIK from secfilings,auto_high_precedence
187742,EVI,1170565,1986-01-01,1998-05-25,ticker_rename,sharadar_tickers.secfilings,permaticker:187742,high,traded as EVI until renamed 1998-05-26 (ACTIONS tickerchangefrom),auto_high_precedence
187742,WFT,1170565,1998-05-26,2019-05-13,ticker_rename,sharadar_tickers.secfilings,permaticker:187742,high,traded as WFT until renamed 2019-05-14 (ACTIONS tickerchangefrom),auto_high_precedence
187742,WFTIF,1170565,2019-05-14,2019-08-04,ticker_rename,sharadar_tickers.secfilings,permaticker:187742,high,traded as WFTIF until renamed 2019-08-05 (ACTIONS tickerchangefrom),auto_high_precedence
