permaticker,ticker,cik,effective_from,effective_to,research_sector,sector_etf,confidence,review_status,mapping_rationale,evidence,reviewer,review_date
,WMT,,2013-01-01,,Consumer Staples,XLP,verified,pending,Walmart - established Consumer Staples constituent; subject to the owner's archived-history check; effective_from = earliest research date pending independent pre-2013 evidence (owner rule: set from the earliest verified date rather than backfilling automatically),Owner countersign 2; XLP holdings,,
,COST,,2013-01-01,,Consumer Staples,XLP,verified,pending,Costco - established Consumer Staples constituent; subject to the owner's archived-history check; effective_from = earliest research date pending independent pre-2013 evidence (owner rule: set from the earliest verified date rather than backfilling automatically),Owner countersign 2; XLP holdings,,
,TGT,,,2023-03-17,Consumer Discretionary,XLY,verified,pending,Target - Consumer Discretionary through the 2023 revision,Owner countersign 2; GICS 2023 revision cites TGT,,
,TGT,,2023-03-20,,Consumer Staples,XLP,verified,pending,Target - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Consumer Staples merchandise retail,Owner countersign 2,,
,DG,,,2023-03-17,Consumer Discretionary,XLY,verified,pending,Dollar General - historically Consumer Discretionary,Owner countersign 2,,
,DG,,2023-03-20,,Consumer Staples,XLP,verified,pending,Dollar General - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers; now Consumer Staples merchandise retail,Owner countersign 2,,
,DLTR,,,2023-03-17,Consumer Discretionary,XLY,verified,pending,Dollar Tree - historically Consumer Discretionary,Owner countersign 2,,
,DLTR,,2023-03-20,,Consumer Staples,XLP,verified,pending,Dollar Tree - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers; now Consumer Staples merchandise retail,Owner countersign 2,,
,DHR,,2013-01-01,,Health Care,XLV,verified,pending,Danaher - SIC 3823 (industrial instruments) but GICS Health Care (life sciences tools); XLV constituent; subject to the owner's archived-history check; effective_from = earliest research date pending independent pre-2013 evidence,Owner countersign 2 LOW recovery,,
,TMO,,2013-01-01,,Health Care,XLV,verified,pending,Thermo Fisher - SIC 3829 but GICS Health Care (life sciences tools); major XLV constituent; subject to the owner's archived-history check; effective_from = earliest research date pending independent pre-2013 evidence,Owner countersign 2 LOW recovery,,
,TT,,2020-03-02,,Industrials,XLI,verified,pending,Trane Technologies - SIC 3822 (environmental controls) but GICS Industrials (building products); XLI constituent; effective from the 2020-03-02 Trane rename/spin (predecessor Ingersoll-Rand also Industrials - extend after archived check),Owner countersign 2 LOW recovery,,
,SNAP,,2017-03-02,2018-09-28,Information Technology,XLK,verified,pending,Snap - internet software under GICS IT from its 2017-03-02 IPO until the 2018 restructure,Owner countersign 2 LOW recovery,,
,SNAP,,2018-10-01,,Communication Services,XLC,verified,pending,Snap - interactive media moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),Owner countersign 2 LOW recovery,,
,PINS,,2019-04-18,,Communication Services,XLC,verified,pending,Pinterest - interactive media = Communication Services from its 2019-04-18 IPO (post-restructure),Owner countersign 2 LOW recovery,,
,TWTR,,2013-11-07,2018-09-28,Information Technology,XLK,verified,pending,Twitter - internet software under GICS IT from its 2013-11-07 IPO until the 2018 restructure,Owner countersign 2 LOW recovery,,
,TWTR,,2018-10-01,2022-10-27,Communication Services,XLC,verified,pending,Twitter - interactive media moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close); window ends at the 2022-10-27 delisting,Owner countersign 2 LOW recovery,,
,ZM,,2019-04-18,,Information Technology,XLK,verified,pending,Zoom - GICS Information Technology (application software) from its 2019-04-18 IPO; SIC 7370 LOW row cannot place it,Owner countersign 2 LOW recovery,,
